handle,rating
hasan_tawsif,1244
Tanzim_bn,1811
mubin_akib,1376
Asad_Bin,1296
CHY_YASIR,1334
nahin_narcissus,1055
nhnahin,1223
ratnajit_dhar,1261
sakib.safwan,1590
shadmansaleh,1261
Sojib_003,1152
adid_r10,1407
faisalshefat,1177
abdullahwazih,0
Abtahi996,0
Ahinat,349
alska_wt,0
Asif48,0
darkavenger2003,341
dev_shajid,805
efti_forever,341
ImonHasan0,0
Junain,796
mahiabdullah,0
MdSaidulislam,341
Microboy,0
mmi404,776
MrBeast99,783
mustafiz21,350
Niloy_noor,0
ovi_xar,568
rathi_aich,0
Rauful,356
roundspecs,1310
Shuvro_09,0
StabbedYuri,811
Tanim456,341
Tanjim.100,0
towhid_146,371
yeasermustabi20018,349
zakaria17,0
dark_Pronay,0
